numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
7,2.428467243,2.276337231,3,1,3,0,0,0,8,16,-3.272236342
8,2.440390087,2.253182041,3,1,4,0,0,0,8,16,-3.282798429
9,2.431600997,2.281278665,3,1,5,0,0,0,8,16,-3.267196642
10,2.42775934,2.306622127,3,1,5,1,0,0,8,16,-3.282451113
11,2.434592434,2.307321299,3,1,6,1,0,0,8,16,-3.358609768
12,2.434929225,2.312841791,4,1,6,1,0,0,8,16,-3.333384576
13,2.437785555,2.326142005,4,2,6,1,0,0,8,16,-3.295596583
14,2.471741419,2.303076813,4,2,7,1,0,0,8,16,-3.278719543
15,2.476110402,2.319551935,4,1,10,0,0,0,8,16,-3.29859194
16,2.444275876,2.326153558,4,1,11,0,0,0,8,16,-3.383760671
17,2.45388235,2.33099603,4,1,12,0,0,0,8,16,-3.274612867
18,2.477463783,2.340793317,4,2,12,0,0,0,8,16,-3.261491999
19,2.469888344,2.303091625,3,3,11,2,0,0,8,16,-3.292885598
20,2.46877643,2.315821485,2,4,12,2,0,0,8,16,-3.307135442
21,2.493818113,2.323038496,2,4,13,2,0,0,8,16,-3.253744831
22,2.487249242,2.351490064,2,4,14,2,0,0,8,16,-3.227567215
1,2.417863069,2.291735995,1,0,0,0,0,0,8,16,-2.744015326
2,2.417578533,2.282791497,1,0,1,0,0,0,8,16,-3.074555256
3,2.418487502,2.29191574,2,0,1,0,0,0,8,16,-3.027367438
4,2.444963969,2.290931438,2,0,2,0,0,0,8,16,-3.23611344
5,2.44648952,2.299290355,1,1,3,0,0,0,8,16,-3.528460761
6,2.46092594,2.301155296,1,1,4,0,0,0,8,16,-3.580923962
7,2.445990173,2.290191632,1,2,4,0,0,0,8,16,-3.553228079
8,2.457426184,2.284211799,1,3,4,0,0,0,8,16,-3.529605602
9,2.457373067,2.26527292,1,4,4,0,0,0,8,16,-3.59218473
10,2.460141778,2.284218861,1,5,4,0,0,0,8,16,-3.560679117
11,2.464447635,2.288959745,1,5,5,0,0,0,8,16,-3.573509661
12,2.462357544,2.3062244,1,5,6,0,0,0,8,16,-3.585473222
13,2.479325168,2.293652812,0,7,6,0,0,0,8,16,-3.65189834
14,2.481916127,2.280967403,0,7,7,0,0,0,8,16,-3.665144471
15,2.48326431,2.284859007,0,7,8,0,0,0,8,16,-3.681722693
16,2.497238388,2.281946433,0,8,8,0,0,0,8,16,-3.66816164
17,2.496045318,2.312657051,0,8,9,0,0,0,8,16,-3.642826896
18,2.509895764,2.322988333,0,8,10,0,0,0,8,16,-3.578782484
1,2.412624979,2.288040821,1,0,0,0,0,0,8,16,-2.814756886
2,2.414443198,2.298101474,1,0,1,0,0,0,8,16,-2.984432107
3,2.433764609,2.311805332,1,0,2,0,0,0,8,16,-2.947376323
4,2.44323208,2.313611233,1,1,2,0,0,0,8,16,-3.070266384
5,2.446720871,2.305606672,1,1,3,0,0,0,8,16,-3.142418044
6,2.450867013,2.308342785,2,1,3,0,0,0,8,16,-3.133833936
7,2.461117065,2.295591801,3,1,3,0,0,0,8,16,-3.09370985
8,2.45222361,2.311240959,3,1,4,0,0,0,8,16,-3.122487449
9,2.450092528,2.287618499,3,1,5,0,0,0,8,16,-3.14113011
10,2.47566727,2.254019208,3,2,5,0,0,0,8,16,-3.153743894
11,2.4772464,2.290393722,3,3,5,0,0,0,8,16,-3.266623112
12,2.469092572,2.295277041,3,4,5,0,0,0,8,16,-3.212311172
13,2.488068536,2.315020574,3,4,6,0,0,0,8,16,-3.321787032
14,2.486459452,2.299250451,3,4,7,0,0,0,8,16,-3.363169179
15,2.504334285,2.308451594,3,5,7,0,0,0,8,16,-3.445975769
16,2.470058434,2.31585056,3,5,8,0,0,0,8,16,-3.43397009
17,2.48458967,2.349207431,1,7,9,0,0,0,8,16,-3.512746588
18,2.484971696,2.332548693,1,7,10,0,0,0,8,16,-3.474230755
1,2.434907877,2.275603605,0,0,1,0,0,0,8,16,-3.257627977
2,2.439153187,2.251012365,1,0,1,0,0,0,8,16,-3.098163559
3,2.445773917,2.251265798,0,1,2,0,0,0,8,16,-3.522631439
4,2.443376435,2.242205523,0,1,2,1,0,0,8,16,-3.549703509
5,2.439616904,2.235369071,0,2,3,0,0,0,8,16,-3.676914159
6,2.448311703,2.232432094,0,2,4,0,0,0,8,16,-3.735093496
7,2.438247582,2.23758399,1,1,5,0,0,0,8,16,-3.673155534
8,2.447439715,2.242363108,1,1,6,0,0,0,8,16,-3.613370918
9,2.445322003,2.287680184,1,2,6,0,0,0,8,16,-3.564663193
10,2.45100566,2.272835491,1,2,7,0,0,0,8,16,-3.437014453
11,2.458350825,2.241635941,1,2,8,0,0,0,8,16,-3.456661974
12,2.466046701,2.263914851,1,2,8,1,0,0,8,16,-3.488837066
13,2.463211101,2.268051907,2,2,8,1,0,0,8,16,-3.429199666
14,2.455105976,2.270139132,2,3,8,1,0,0,8,16,-3.36652417
15,2.456906323,2.284400924,3,3,8,1,0,0,8,16,-3.323896245
16,2.45165491,2.286504864,3,3,10,0,0,0,8,16,-3.297968085
17,2.453767862,2.288323501,3,3,11,0,0,0,8,16,-3.235663575
18,2.471073795,2.290775331,3,4,11,0,0,0,8,16,-3.180299345
1,2.418943072,2.281722827,1,0,0,0,0,0,8,16,-2.509824493
2,2.428402849,2.26507933,1,1,0,0,0,0,8,16,-2.921827929
3,2.432561368,2.258944674,1,1,1,0,0,0,8,16,-3.270463291
4,2.433283486,2.271026065,1,1,2,0,0,0,8,16,-3.38261151
5,2.434107211,2.284259926,1,1,3,0,0,0,8,16,-3.557038757
6,2.413874556,2.283235206,1,1,4,0,0,0,8,16,-3.652941482
7,2.405981077,2.307098424,1,2,4,0,0,0,8,16,-3.635204275
8,2.414328642,2.2932511,1,2,5,0,0,0,8,16,-3.546657337
9,2.415686688,2.303622993,1,2,6,0,0,0,8,16,-3.532258281
10,2.443787408,2.310397776,1,2,6,1,0,0,8,16,-3.583001161
11,2.454719588,2.300400062,1,2,7,1,0,0,8,16,-3.537312377
12,2.452272203,2.260059784,1,3,8,0,0,0,8,16,-3.49427317
13,2.454362188,2.282840663,1,4,8,0,0,0,8,16,-3.491177159
14,2.487210647,2.295817131,1,5,8,0,0,0,8,16,-3.506703016
15,2.482147167,2.301144315,1,6,8,0,0,0,8,16,-3.503268311
16,2.509479668,2.293363163,1,6,9,0,0,0,8,16,-3.449920011
17,2.529351131,2.292254627,1,7,9,0,0,0,8,16,-3.355062643
1,2.429473551,2.263349499,1,0,0,0,0,0,8,16,-2.507299285
2,2.429868364,2.263669603,1,1,0,0,0,0,8,16,-2.937954093
3,2.428414013,2.303422166,1,1,1,0,0,0,8,16,-3.439758104
4,2.429694874,2.264782227,1,2,1,0,0,0,8,16,-3.357745643
5,2.439500984,2.25393216,1,2,2,0,0,0,8,16,-3.370771473
6,2.44937824,2.267893344,1,2,3,0,0,0,8,16,-3.601099976
7,2.444407775,2.285475575,1,2,4,0,0,0,8,16,-3.616743165
8,2.43834071,2.26117289,1,2,5,0,0,0,8,16,-3.623780965
9,2.437459784,2.265625117,1,3,5,0,0,0,8,16,-3.623541695
10,2.447686026,2.261470696,1,3,6,0,0,0,8,16,-3.574502077
11,2.456840423,2.274488766,1,3,7,0,0,0,8,16,-3.554839224
12,2.458388097,2.285110948,1,3,8,0,0,0,8,16,-3.569757465
13,2.462571766,2.292192445,1,3,9,0,0,0,8,16,-3.515572761
14,2.480588185,2.289845265,1,3,10,0,0,0,8,16,-3.450336748
15,2.474818673,2.280435853,1,4,10,0,0,0,8,16,-3.458839211
16,2.462479299,2.290831068,1,4,11,0,0,0,8,16,-3.437775102
17,2.457456869,2.355962058,1,5,10,1,0,0,8,16,-3.403526545
1,2.440607529,2.285844063,1,0,0,0,0,0,8,16,-2.380170796
2,2.440957188,2.279598904,1,0,1,0,0,0,8,16,-3.092451942
3,2.441751859,2.294036879,2,0,1,0,0,0,8,16,-3.093877744
4,2.436779826,2.283165123,2,0,2,0,0,0,8,16,-3.260626363
5,2.430494431,2.285049651,3,0,2,0,0,0,8,16,-3.211572919
6,2.427127118,2.283893954,3,1,2,0,0,0,8,16,-3.175706126
7,2.452908084,2.276257713,3,1,3,0,0,0,8,16,-3.175260378
8,2.460094785,2.228573287,3,1,4,0,0,0,8,16,-3.29927465
9,2.450700222,2.23265425,3,1,5,0,0,0,8,16,-3.320121684
10,2.464105895,2.211605226,3,1,6,0,0,0,8,16,-3.316417745
11,2.470236628,2.214145995,3,1,7,0,0,0,8,16,-3.375185236
12,2.467995212,2.229537503,3,2,7,0,0,0,8,16,-3.363227755
13,2.462176442,2.247946954,3,2,8,0,0,0,8,16,-3.398119864
14,2.457852362,2.277016056,3,2,9,0,0,0,8,16,-3.361490214
15,2.450939327,2.305759344,3,2,10,0,0,0,8,16,-3.335462277
16,2.435238628,2.315353784,2,2,11,1,0,0,8,16,-3.422174315
17,2.439375674,2.322536228,2,2,12,1,0,0,8,16,-3.392217204
18,2.443079075,2.319467474,2,2,14,0,0,0,8,16,-3.318324876
19,2.454720686,2.309065106,2,4,13,0,0,0,8,16,-3.321117857
20,2.459216498,2.32590572,2,4,14,0,0,0,8,16,-3.336069606
1,2.415405824,2.283512882,0,1,0,0,0,0,8,16,-3.218467623
2,2.435364746,2.286570003,1,1,0,0,0,0,8,16,-2.821603158
3,2.424853247,2.280814556,1,2,0,0,0,0,8,16,-3.024663223
4,2.42113286,2.276539872,1,2,1,0,0,0,8,16,-3.186586709
5,2.423279188,2.279887441,2,2,1,0,0,0,8,16,-3.118639572
6,2.439869359,2.256077347,2,3,1,0,0,0,8,16,-3.22915865
7,2.457764519,2.268008998,2,3,2,0,0,0,8,16,-3.269747677
8,2.479511187,2.241980565,2,3,3,0,0,0,8,16,-3.355914461
9,2.458475731,2.276381429,2,4,3,0,0,0,8,16,-3.416635101
10,2.453984011,2.300456752,2,4,4,0,0,0,8,16,-3.392199772
11,2.465133881,2.250962033,2,4,5,0,0,0,8,16,-3.412777087
12,2.464460951,2.253722644,2,4,6,0,0,0,8,16,-3.438180127
13,2.478984266,2.290132535,2,5,6,0,0,0,8,16,-3.364011667
14,2.484436333,2.306242741,2,5,6,1,0,0,8,16,-3.292069499
15,2.460753429,2.29542773,2,5,8,0,0,0,8,16,-3.343200024
16,2.471258241,2.284147953,2,6,8,0,0,0,8,16,-3.371565779
17,2.482060806,2.28659215,2,6,9,0,0,0,8,16,-3.368974181
18,2.49493709,2.273984992,3,6,9,0,0,0,8,16,-3.364184539
19,2.493693887,2.278325934,3,7,9,0,0,0,8,16,-3.357762364
20,2.515791501,2.303892061,3,7,10,0,0,0,8,16,-3.329947263
1,2.444925472,2.28701388,1,0,0,0,0,0,8,16,-2.386933328
2,2.44233099,2.273809504,1,1,0,0,0,0,8,16,-2.963375562
3,2.440910792,2.282743938,1,1,1,0,0,0,8,16,-3.173476661
4,2.441379232,2.284210646,1,2,1,0,0,0,8,16,-3.333163903
5,2.442803539,2.256428716,1,2,2,0,0,0,8,16,-3.399265925
6,2.445533967,2.26239514,2,2,2,0,0,0,8,16,-3.232494234
7,2.454686166,2.255058725,3,2,2,0,0,0,8,16,-3.161814515
8,2.45732605,2.2596635,4,2,2,0,0,0,8,16,-3.117615477
